Description,ANGLE OF ATTACK - ALPHA (AOA),ANGLE OF SIDESLIP - BETHA (SDSLIP),1P STICK ROLL POSITION (POSAILECMD),LH AILERON DEFLECTION (POSAILLH),RH AILERON DEFLECTION (POSAILRH),ELEVATOR DEFLECTION (POSELEV),1P STICK PITCH POSITION (POSELEVCMD),RUDDER DEFLECTION (POSRUDD),1P PEDAL POSITION (POSRUDDCMD),LH FLAP DEFLECTION (FLAPLH),RH FLAP DEFLECTION (FLAPRH),ELEVATOR LONGITUDINAL FORCE STRAIN GAGE,AILERON LATERAL FORCE STRAIN GAGE,PITCH TRIM,ROLL TRIM,RUDDER TRIM
EU,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,kg,kg,deg,deg,deg
198:09:40:06.200,30.77863312,-30,-0.311278194,-2.323809624,1.642585516,-19.1428566,15.07728577,1.010183334,-0.8311885,15.22803688,15.27788734,0.291929811,0.313475192,-0.237785339,-0.179883167,2.741402149
198:09:40:06.300,30.77863312,-30,-0.311278194,-2.326631308,1.638437629,-19.07606697,14.97109127,0.981670082,-0.814155936,15.22803688,15.2734642,0.212105259,0.313475192,-0.240407959,-0.179883167,2.74290061
198:09:40:06.400,30.77863312,-30,-0.311278194,-2.33932972,1.639820218,-18.9035244,14.87905598,1.014256597,-0.840272546,15.22803688,15.2705164,0.182456136,0.322695047,-0.238659546,-0.181929275,2.741402149
198:09:40:06.500,30.42553139,-30,-0.311278194,-2.333686113,1.642585516,-19.03710556,15.03244877,1.081466436,-0.865253568,15.22803688,15.27493858,0.266842097,0.306560278,-0.240407959,-0.177837074,2.741402149
198:09:40:06.600,29.23947525,-30,-0.311278194,-2.312521935,1.632907033,-19.16326523,15.07020664,1.152749538,-0.880015135,15.22803688,15.2734642,0.150526315,0.301950365,-0.239970863,-0.179883167,2.732410431
198:09:40:06.700,30.76731491,-30,-0.311278194,-2.364726543,1.643968225,-19.43228149,15.23775768,1.046843171,-0.867524624,15.22803688,15.2734642,0.200701758,0.320390075,-0.236911118,-0.183975369,2.751892328
198:09:40:06.800,30.77863312,-30,-0.311278194,-2.39294529,1.646733522,-19.25602913,15.09380531,0.847250521,-0.78576833,15.22512627,15.2734642,0.241754383,0.318085104,-0.237348229,-0.173744872,2.73690629
198:09:40:06.900,30.77863312,-30,-0.315789461,-2.33932972,1.641202927,-19.18738365,15.00412941,0.753564179,-0.730128706,15.22512627,15.28083515,0.262280703,0.334219873,-0.239096642,-0.181929275,2.73990345
198:09:40:07.000,30.77863312,-30,-0.311278194,-2.343562603,1.632907033,-19.19480515,15.11032486,0.452138484,-0.62339139,15.22512627,15.27198982,0.214385971,0.304255307,-0.24128218,-0.177837074,2.729413271
198:09:40:07.100,30.77863312,-30,-0.311278194,-2.320987701,1.628759027,-19.3747673,15.21415901,-0.420318723,-0.288417876,15.22512627,15.27788734,0.294210523,0.320390075,-0.240407959,-0.175790966,2.73990345
